Participant Id	Tumor Type	Annotation	Filter Reason	Removed Samples	Chosen Sample
TCGA-44-3398	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_3__segmented_scna_minus_germline_cnv_hg18__seg	Analyte Replicate Filter	TCGA-44-3398-01A-01D-1549-01	TCGA-44-3398-01A-01D-1877-01
TCGA-44-3398	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_3__segmented_scna_minus_germline_cnv_hg18__seg	Analyte Replicate Filter	TCGA-44-3398-11B-01D-1549-01	TCGA-44-3398-11B-01D-1877-01
TCGA-44-2657	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_3__segmented_scna_minus_germline_cnv_hg18__seg	Analyte Replicate Filter	TCGA-44-2657-01A-01D-1549-01	TCGA-44-2657-01A-01D-1877-01
TCGA-38-4627	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_3__segmented_scna_minus_germline_cnv_hg18__seg	Analyte Replicate Filter	TCGA-38-4627-01A-01D-1204-01	TCGA-38-4627-01A-01D-1549-01
TCGA-44-2668	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__after_5NN_copy_number__data	Analyte Replicate Filter	TCGA-44-2668-01A-01D-0944-01	TCGA-44-2668-01A-01D-1549-01
TCGA-44-2661	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__after_5NN_copy_number__data	Analyte Replicate Filter	TCGA-44-2661-11A-01D-1549-01	TCGA-44-2661-11A-01D-1877-01
TCGA-38-4627	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__after_5NN_copy_number__data	Analyte Replicate Filter	TCGA-38-4627-01A-01D-1204-01	TCGA-38-4627-01A-01D-1549-01
TCGA-44-2657	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__after_5NN_copy_number__data	Analyte Replicate Filter	TCGA-44-2657-01A-01D-1549-01	TCGA-44-2657-01A-01D-1877-01
TCGA-44-3398	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__after_5NN_copy_number__data	Analyte Replicate Filter	TCGA-44-3398-01A-01D-1549-01	TCGA-44-3398-01A-01D-1877-01
TCGA-44-3398	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__after_5NN_copy_number__data	Analyte Replicate Filter	TCGA-44-3398-11B-01D-1549-01	TCGA-44-3398-11B-01D-1877-01
TCGA-44-4112	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__after_5NN_copy_number__data	Analyte Replicate Filter	TCGA-44-4112-10A-01D-1450-01	TCGA-44-4112-10A-01D-1877-01
TCGA-44-2668	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__no_outlier_copy_number__data	Analyte Replicate Filter	TCGA-44-2668-01A-01D-0944-01	TCGA-44-2668-01A-01D-1549-01
TCGA-44-2661	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__no_outlier_copy_number__data	Analyte Replicate Filter	TCGA-44-2661-11A-01D-1549-01	TCGA-44-2661-11A-01D-1877-01
TCGA-44-2659	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__no_outlier_copy_number__data	Analyte Replicate Filter	TCGA-44-2659-01A-01D-0944-01	TCGA-44-2659-01A-01D-1549-01
TCGA-38-4625	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__no_outlier_copy_number__data	Analyte Replicate Filter	TCGA-38-4625-01A-01D-1204-01	TCGA-38-4625-01A-01D-1549-01
TCGA-38-4627	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__no_outlier_copy_number__data	Analyte Replicate Filter	TCGA-38-4627-01A-01D-1204-01	TCGA-38-4627-01A-01D-1549-01
TCGA-44-2657	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__no_outlier_copy_number__data	Analyte Replicate Filter	TCGA-44-2657-01A-01D-1549-01	TCGA-44-2657-01A-01D-1877-01
TCGA-44-3398	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__no_outlier_copy_number__data	Analyte Replicate Filter	TCGA-44-3398-01A-01D-1549-01	TCGA-44-3398-01A-01D-1877-01
TCGA-44-2661	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__no_outlier_copy_number__data	Analyte Replicate Filter	TCGA-44-2661-01A-01D-1549-01	TCGA-44-2661-01A-01D-1877-01
TCGA-44-3398	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__no_outlier_copy_number__data	Analyte Replicate Filter	TCGA-44-3398-11B-01D-1549-01	TCGA-44-3398-11B-01D-1877-01
TCGA-44-4112	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__no_outlier_copy_number__data	Analyte Replicate Filter	TCGA-44-4112-10A-01D-1450-01	TCGA-44-4112-10A-01D-1877-01
TCGA-44-2668	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_3__segmented_scna_hg19__seg	Analyte Replicate Filter	TCGA-44-2668-01A-01D-0944-01	TCGA-44-2668-01A-01D-1549-01
TCGA-44-2661	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_3__segmented_scna_hg19__seg	Analyte Replicate Filter	TCGA-44-2661-11A-01D-1549-01	TCGA-44-2661-11A-01D-1877-01
TCGA-44-4112	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_3__segmented_scna_hg19__seg	Analyte Replicate Filter	TCGA-44-4112-10A-01D-1450-01	TCGA-44-4112-10A-01D-1877-01
TCGA-44-3398	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_3__segmented_scna_hg19__seg	Analyte Replicate Filter	TCGA-44-3398-01A-01D-1549-01	TCGA-44-3398-01A-01D-1877-01
TCGA-44-3398	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_3__segmented_scna_hg19__seg	Analyte Replicate Filter	TCGA-44-3398-11B-01D-1549-01	TCGA-44-3398-11B-01D-1877-01
TCGA-44-2657	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_3__segmented_scna_hg19__seg	Analyte Replicate Filter	TCGA-44-2657-01A-01D-1549-01	TCGA-44-2657-01A-01D-1877-01
TCGA-38-4627	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_3__segmented_scna_hg19__seg	Analyte Replicate Filter	TCGA-38-4627-01A-01D-1204-01	TCGA-38-4627-01A-01D-1549-01
TCGA-44-2668	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__copynumber_byallele__data	Analyte Replicate Filter	TCGA-44-2668-01A-01D-0944-01	TCGA-44-2668-01A-01D-1549-01
TCGA-44-2661	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__copynumber_byallele__data	Analyte Replicate Filter	TCGA-44-2661-11A-01D-1549-01	TCGA-44-2661-11A-01D-1877-01
TCGA-44-2659	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__copynumber_byallele__data	Analyte Replicate Filter	TCGA-44-2659-01A-01D-0944-01	TCGA-44-2659-01A-01D-1549-01
TCGA-38-4625	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__copynumber_byallele__data	Analyte Replicate Filter	TCGA-38-4625-01A-01D-1204-01	TCGA-38-4625-01A-01D-1549-01
TCGA-38-4627	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__copynumber_byallele__data	Analyte Replicate Filter	TCGA-38-4627-01A-01D-1204-01	TCGA-38-4627-01A-01D-1549-01
TCGA-44-2657	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__copynumber_byallele__data	Analyte Replicate Filter	TCGA-44-2657-01A-01D-1549-01	TCGA-44-2657-01A-01D-1877-01
TCGA-44-3398	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__copynumber_byallele__data	Analyte Replicate Filter	TCGA-44-3398-01A-01D-1549-01	TCGA-44-3398-01A-01D-1877-01
TCGA-44-2661	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__copynumber_byallele__data	Analyte Replicate Filter	TCGA-44-2661-01A-01D-1549-01	TCGA-44-2661-01A-01D-1877-01
TCGA-44-3398	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__copynumber_byallele__data	Analyte Replicate Filter	TCGA-44-3398-11B-01D-1549-01	TCGA-44-3398-11B-01D-1877-01
TCGA-44-4112	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__copynumber_byallele__data	Analyte Replicate Filter	TCGA-44-4112-10A-01D-1450-01	TCGA-44-4112-10A-01D-1877-01
TCGA-44-2668	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__byallele_copynumber__data	Analyte Replicate Filter	TCGA-44-2668-01A-01D-0944-01	TCGA-44-2668-01A-01D-1549-01
TCGA-44-2661	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__byallele_copynumber__data	Analyte Replicate Filter	TCGA-44-2661-11A-01D-1549-01	TCGA-44-2661-11A-01D-1877-01
TCGA-44-2659	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__byallele_copynumber__data	Analyte Replicate Filter	TCGA-44-2659-01A-01D-0944-01	TCGA-44-2659-01A-01D-1549-01
TCGA-44-4112	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__byallele_copynumber__data	Analyte Replicate Filter	TCGA-44-4112-10A-01D-1450-01	TCGA-44-4112-10A-01D-1877-01
TCGA-38-4625	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__byallele_copynumber__data	Analyte Replicate Filter	TCGA-38-4625-01A-01D-1204-01	TCGA-38-4625-01A-01D-1549-01
TCGA-44-3398	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__byallele_copynumber__data	Analyte Replicate Filter	TCGA-44-3398-01A-01D-1549-01	TCGA-44-3398-01A-01D-1877-01
TCGA-44-3398	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__byallele_copynumber__data	Analyte Replicate Filter	TCGA-44-3398-11B-01D-1549-01	TCGA-44-3398-11B-01D-1877-01
TCGA-44-2657	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__byallele_copynumber__data	Analyte Replicate Filter	TCGA-44-2657-01A-01D-1549-01	TCGA-44-2657-01A-01D-1877-01
TCGA-38-4627	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__byallele_copynumber__data	Analyte Replicate Filter	TCGA-38-4627-01A-01D-1204-01	TCGA-38-4627-01A-01D-1549-01
TCGA-44-2661	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__byallele_copynumber__data	Analyte Replicate Filter	TCGA-44-2661-01A-01D-1549-01	TCGA-44-2661-01A-01D-1877-01
TCGA-44-6146	LUAD	mirnaseq__illuminahiseq_mirnaseq__bcgsc_ca__Level_3__miR_gene_expression__data	Analyte Replicate Filter	TCGA-44-6146-01B-04R-A27D-13	TCGA-44-6146-01A-11H-1754-13
TCGA-44-6147	LUAD	mirnaseq__illuminahiseq_mirnaseq__bcgsc_ca__Level_3__miR_gene_expression__data	Analyte Replicate Filter	TCGA-44-6147-01B-06R-A27D-13	TCGA-44-6147-01A-11H-1754-13
TCGA-44-6775	LUAD	mirnaseq__illuminahiseq_mirnaseq__bcgsc_ca__Level_3__miR_gene_expression__data	Analyte Replicate Filter	TCGA-44-6775-01C-02R-A27D-13	TCGA-44-6775-01A-11H-1857-13
TCGA-44-2668	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_3__segmented_scna_hg18__seg	Analyte Replicate Filter	TCGA-44-2668-01A-01D-0944-01	TCGA-44-2668-01A-01D-1549-01
TCGA-44-2661	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_3__segmented_scna_hg18__seg	Analyte Replicate Filter	TCGA-44-2661-11A-01D-1549-01	TCGA-44-2661-11A-01D-1877-01
TCGA-44-4112	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_3__segmented_scna_hg18__seg	Analyte Replicate Filter	TCGA-44-4112-10A-01D-1450-01	TCGA-44-4112-10A-01D-1877-01
TCGA-44-3398	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_3__segmented_scna_hg18__seg	Analyte Replicate Filter	TCGA-44-3398-01A-01D-1549-01	TCGA-44-3398-01A-01D-1877-01
TCGA-44-3398	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_3__segmented_scna_hg18__seg	Analyte Replicate Filter	TCGA-44-3398-11B-01D-1549-01	TCGA-44-3398-11B-01D-1877-01
TCGA-44-2657	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_3__segmented_scna_hg18__seg	Analyte Replicate Filter	TCGA-44-2657-01A-01D-1549-01	TCGA-44-2657-01A-01D-1877-01
TCGA-38-4627	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_3__segmented_scna_hg18__seg	Analyte Replicate Filter	TCGA-38-4627-01A-01D-1204-01	TCGA-38-4627-01A-01D-1549-01
TCGA-44-2668	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_3__segmented_scna_minus_germline_cnv_hg19__seg	Analyte Replicate Filter	TCGA-44-2668-01A-01D-0944-01	TCGA-44-2668-01A-01D-1549-01
TCGA-44-2661	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_3__segmented_scna_minus_germline_cnv_hg19__seg	Analyte Replicate Filter	TCGA-44-2661-11A-01D-1549-01	TCGA-44-2661-11A-01D-1877-01
TCGA-44-4112	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_3__segmented_scna_minus_germline_cnv_hg19__seg	Analyte Replicate Filter	TCGA-44-4112-10A-01D-1450-01	TCGA-44-4112-10A-01D-1877-01
TCGA-44-3398	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_3__segmented_scna_minus_germline_cnv_hg19__seg	Analyte Replicate Filter	TCGA-44-3398-01A-01D-1549-01	TCGA-44-3398-01A-01D-1877-01
TCGA-44-3398	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_3__segmented_scna_minus_germline_cnv_hg19__seg	Analyte Replicate Filter	TCGA-44-3398-11B-01D-1549-01	TCGA-44-3398-11B-01D-1877-01
TCGA-44-2657	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_3__segmented_scna_minus_germline_cnv_hg19__seg	Analyte Replicate Filter	TCGA-44-2657-01A-01D-1549-01	TCGA-44-2657-01A-01D-1877-01
TCGA-38-4627	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_3__segmented_scna_minus_germline_cnv_hg19__seg	Analyte Replicate Filter	TCGA-38-4627-01A-01D-1204-01	TCGA-38-4627-01A-01D-1549-01
TCGA-44-2668	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__raw_copynumber__data	Analyte Replicate Filter	TCGA-44-2668-01A-01D-0944-01	TCGA-44-2668-01A-01D-1549-01
TCGA-44-2661	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__raw_copynumber__data	Analyte Replicate Filter	TCGA-44-2661-11A-01D-1549-01	TCGA-44-2661-11A-01D-1877-01
TCGA-44-2659	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__raw_copynumber__data	Analyte Replicate Filter	TCGA-44-2659-01A-01D-0944-01	TCGA-44-2659-01A-01D-1549-01
TCGA-44-4112	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__raw_copynumber__data	Analyte Replicate Filter	TCGA-44-4112-10A-01D-1450-01	TCGA-44-4112-10A-01D-1877-01
TCGA-38-4625	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__raw_copynumber__data	Analyte Replicate Filter	TCGA-38-4625-01A-01D-1204-01	TCGA-38-4625-01A-01D-1549-01
TCGA-44-3398	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__raw_copynumber__data	Analyte Replicate Filter	TCGA-44-3398-01A-01D-1549-01	TCGA-44-3398-01A-01D-1877-01
TCGA-44-3398	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__raw_copynumber__data	Analyte Replicate Filter	TCGA-44-3398-11B-01D-1549-01	TCGA-44-3398-11B-01D-1877-01
TCGA-44-2657	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__raw_copynumber__data	Analyte Replicate Filter	TCGA-44-2657-01A-01D-1549-01	TCGA-44-2657-01A-01D-1877-01
TCGA-38-4627	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__raw_copynumber__data	Analyte Replicate Filter	TCGA-38-4627-01A-01D-1204-01	TCGA-38-4627-01A-01D-1549-01
TCGA-44-2661	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__raw_copynumber__data	Analyte Replicate Filter	TCGA-44-2661-01A-01D-1549-01	TCGA-44-2661-01A-01D-1877-01
TCGA-44-2668	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_1__image_acquisition__data	Analyte Replicate Filter	TCGA-44-2668-01A-01D-0944-01	TCGA-44-2668-01A-01D-1549-01
TCGA-44-2661	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_1__image_acquisition__data	Analyte Replicate Filter	TCGA-44-2661-11A-01D-1549-01	TCGA-44-2661-11A-01D-1877-01
TCGA-44-2659	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_1__image_acquisition__data	Analyte Replicate Filter	TCGA-44-2659-01A-01D-0944-01	TCGA-44-2659-01A-01D-1549-01
TCGA-44-2657	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_1__image_acquisition__data	Analyte Replicate Filter	TCGA-44-2657-11A-01D-1549-01	TCGA-44-2657-11A-01D-1877-01
TCGA-38-4625	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_1__image_acquisition__data	Analyte Replicate Filter	TCGA-38-4625-01A-01D-1204-01	TCGA-38-4625-01A-01D-1549-01
TCGA-38-4627	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_1__image_acquisition__data	Analyte Replicate Filter	TCGA-38-4627-01A-01D-1204-01	TCGA-38-4627-01A-01D-1549-01
TCGA-44-2657	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_1__image_acquisition__data	Analyte Replicate Filter	TCGA-44-2657-01A-01D-1549-01	TCGA-44-2657-01A-01D-1877-01
TCGA-44-3398	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_1__image_acquisition__data	Analyte Replicate Filter	TCGA-44-3398-01A-01D-1549-01	TCGA-44-3398-01A-01D-1877-01
TCGA-44-2661	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_1__image_acquisition__data	Analyte Replicate Filter	TCGA-44-2661-01A-01D-1549-01	TCGA-44-2661-01A-01D-1877-01
TCGA-44-3398	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_1__image_acquisition__data	Analyte Replicate Filter	TCGA-44-3398-11B-01D-1549-01	TCGA-44-3398-11B-01D-1877-01
TCGA-44-3919	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_1__image_acquisition__data	Analyte Replicate Filter	TCGA-44-3919-10A-01D-1450-01	TCGA-44-3919-10A-01D-1877-01
TCGA-44-4112	LUAD	snp__genome_wide_snp_6__broad_mit_edu__Level_1__image_acquisition__data	Analyte Replicate Filter	TCGA-44-4112-10A-01D-1450-01	TCGA-44-4112-10A-01D-1877-01
TCGA-FG-5965	LGG	mirnaseq__illuminahiseq_mirnaseq__bcgsc_ca__Level_3__miR_gene_expression__data	Sort Replicate Filter	TCGA-FG-5965-02A-11R-A29V-13	TCGA-FG-5965-02B-11R-A29V-13
TCGA-FG-5965	LGG	rnaseqv2__illuminahiseq_rnaseqv2__unc_edu__Level_3__RSEM_genes__data	Sort Replicate Filter	TCGA-FG-5965-02A-11R-A29R-07	TCGA-FG-5965-02B-11R-A29R-07
TCGA-FG-5965	LGG	rnaseqv2__illuminahiseq_rnaseqv2__unc_edu__Level_3__RSEM_isoforms_normalized__data	Sort Replicate Filter	TCGA-FG-5965-02A-11R-A29R-07	TCGA-FG-5965-02B-11R-A29R-07
TCGA-FG-5965	LGG	rnaseqv2__illuminahiseq_rnaseqv2__unc_edu__Level_3__junction_quantification__data	Sort Replicate Filter	TCGA-FG-5965-02A-11R-A29R-07	TCGA-FG-5965-02B-11R-A29R-07
TCGA-FG-5965	LGG	mirnaseq__illuminahiseq_mirnaseq__bcgsc_ca__Level_3__miR_isoform_expression__data	Sort Replicate Filter	TCGA-FG-5965-02A-11R-A29V-13	TCGA-FG-5965-02B-11R-A29V-13
TCGA-FG-5965	LGG	methylation__humanmethylation450__jhu_usc_edu__Level_3__within_bioassay_data_set_function__data	Sort Replicate Filter	TCGA-FG-5965-02A-11D-A29T-05	TCGA-FG-5965-02B-11D-A29T-05
TCGA-FG-5965	LGG	rnaseqv2__illuminahiseq_rnaseqv2__unc_edu__Level_3__RSEM_genes_normalized__data	Sort Replicate Filter	TCGA-FG-5965-02A-11R-A29R-07	TCGA-FG-5965-02B-11R-A29R-07
TCGA-FG-5965	LGG	rnaseqv2__illuminahiseq_rnaseqv2__unc_edu__Level_3__exon_quantification__data	Sort Replicate Filter	TCGA-FG-5965-02A-11R-A29R-07	TCGA-FG-5965-02B-11R-A29R-07
TCGA-BK-A26L	UCEC	mirnaseq__illuminahiseq_mirnaseq__bcgsc_ca__Level_3__miR_gene_expression__data	Analyte Replicate Filter	TCGA-BK-A26L-01A-11R-A16E-13	TCGA-BK-A26L-01C-04R-A27D-13
TCGA-BK-A0CA	UCEC	mirnaseq__illuminahiseq_mirnaseq__bcgsc_ca__Level_3__miR_gene_expression__data	Analyte Replicate Filter	TCGA-BK-A0CA-01A-21R-A119-13	TCGA-BK-A0CA-01B-02R-A27D-13
TCGA-BK-A139	UCEC	snp__genome_wide_snp_6__broad_mit_edu__Level_2__byallele_copynumber__data	Sort Replicate Filter	TCGA-BK-A139-01A-11D-A275-01	TCGA-BK-A139-01C-08D-A275-01
TCGA-BK-A0CC	UCEC	snp__genome_wide_snp_6__broad_mit_edu__Level_2__byallele_copynumber__data	Sort Replicate Filter	TCGA-BK-A0CC-01A-21D-A275-01	TCGA-BK-A0CC-01B-04D-A275-01
TCGA-BK-A26L	UCEC	snp__genome_wide_snp_6__broad_mit_edu__Level_2__byallele_copynumber__data	Sort Replicate Filter	TCGA-BK-A26L-01A-11D-A275-01	TCGA-BK-A26L-01C-04D-A275-01
TCGA-BK-A0CA	UCEC	snp__genome_wide_snp_6__broad_mit_edu__Level_2__byallele_copynumber__data	Sort Replicate Filter	TCGA-BK-A0CA-01A-21D-A275-01	TCGA-BK-A0CA-01B-02D-A275-01
TCGA-BK-A139	UCEC	snp__genome_wide_snp_6__broad_mit_edu__Level_2__invariantset_medianpolish__data	Sort Replicate Filter	TCGA-BK-A139-01A-11D-A275-01	TCGA-BK-A139-01C-08D-A275-01
TCGA-BK-A0CC	UCEC	snp__genome_wide_snp_6__broad_mit_edu__Level_2__invariantset_medianpolish__data	Sort Replicate Filter	TCGA-BK-A0CC-01A-21D-A275-01	TCGA-BK-A0CC-01B-04D-A275-01
TCGA-BK-A26L	UCEC	snp__genome_wide_snp_6__broad_mit_edu__Level_2__invariantset_medianpolish__data	Sort Replicate Filter	TCGA-BK-A26L-01A-11D-A275-01	TCGA-BK-A26L-01C-04D-A275-01
TCGA-BK-A0CA	UCEC	snp__genome_wide_snp_6__broad_mit_edu__Level_2__invariantset_medianpolish__data	Sort Replicate Filter	TCGA-BK-A0CA-01A-21D-A275-01	TCGA-BK-A0CA-01B-02D-A275-01
TCGA-BK-A139	UCEC	snp__genome_wide_snp_6__broad_mit_edu__Level_2__birdseed_genotype__birdseed	Sort Replicate Filter	TCGA-BK-A139-01A-11D-A275-01	TCGA-BK-A139-01C-08D-A275-01
TCGA-BK-A0CC	UCEC	snp__genome_wide_snp_6__broad_mit_edu__Level_2__birdseed_genotype__birdseed	Sort Replicate Filter	TCGA-BK-A0CC-01A-21D-A275-01	TCGA-BK-A0CC-01B-04D-A275-01
TCGA-BK-A26L	UCEC	snp__genome_wide_snp_6__broad_mit_edu__Level_2__birdseed_genotype__birdseed	Sort Replicate Filter	TCGA-BK-A26L-01A-11D-A275-01	TCGA-BK-A26L-01C-04D-A275-01
TCGA-BK-A0CA	UCEC	snp__genome_wide_snp_6__broad_mit_edu__Level_2__birdseed_genotype__birdseed	Sort Replicate Filter	TCGA-BK-A0CA-01A-21D-A275-01	TCGA-BK-A0CA-01B-02D-A275-01
TCGA-BK-A139	UCEC	snp__genome_wide_snp_6__broad_mit_edu__Level_2__raw_copynumber__data	Sort Replicate Filter	TCGA-BK-A139-01A-11D-A275-01	TCGA-BK-A139-01C-08D-A275-01
TCGA-BK-A0CC	UCEC	snp__genome_wide_snp_6__broad_mit_edu__Level_2__raw_copynumber__data	Sort Replicate Filter	TCGA-BK-A0CC-01A-21D-A275-01	TCGA-BK-A0CC-01B-04D-A275-01
TCGA-BK-A26L	UCEC	snp__genome_wide_snp_6__broad_mit_edu__Level_2__raw_copynumber__data	Sort Replicate Filter	TCGA-BK-A26L-01A-11D-A275-01	TCGA-BK-A26L-01C-04D-A275-01
TCGA-BK-A0CA	UCEC	snp__genome_wide_snp_6__broad_mit_edu__Level_2__raw_copynumber__data	Sort Replicate Filter	TCGA-BK-A0CA-01A-21D-A275-01	TCGA-BK-A0CA-01B-02D-A275-01
TCGA-BK-A26L	UCEC	methylation__humanmethylation450__jhu_usc_edu__Level_3__within_bioassay_data_set_function__data	Analyte Replicate Filter	TCGA-BK-A26L-01A-11D-A16G-05	TCGA-BK-A26L-01C-04D-A27B-05
TCGA-BK-A139	UCEC	methylation__humanmethylation450__jhu_usc_edu__Level_3__within_bioassay_data_set_function__data	Analyte Replicate Filter	TCGA-BK-A139-01A-11D-A123-05	TCGA-BK-A139-01C-08D-A27B-05
TCGA-BK-A0CA	UCEC	methylation__humanmethylation450__jhu_usc_edu__Level_3__within_bioassay_data_set_function__data	Analyte Replicate Filter	TCGA-BK-A0CA-01A-21D-A123-05	TCGA-BK-A0CA-01B-02D-A27B-05
TCGA-BK-A26L	UCEC	mirnaseq__illuminahiseq_mirnaseq__bcgsc_ca__Level_3__miR_isoform_expression__data	Analyte Replicate Filter	TCGA-BK-A26L-01A-11R-A16E-13	TCGA-BK-A26L-01C-04R-A27D-13
TCGA-BK-A0CA	UCEC	mirnaseq__illuminahiseq_mirnaseq__bcgsc_ca__Level_3__miR_isoform_expression__data	Analyte Replicate Filter	TCGA-BK-A0CA-01A-21R-A119-13	TCGA-BK-A0CA-01B-02R-A27D-13
TCGA-AF-3400	READ	snp__genome_wide_snp_6__broad_mit_edu__Level_3__segmented_scna_minus_germline_cnv_hg18__seg	Analyte Replicate Filter	TCGA-AF-3400-01A-01D-0819-01	TCGA-AF-3400-01A-01D-1549-01
TCGA-AF-2689	READ	snp__genome_wide_snp_6__broad_mit_edu__Level_3__segmented_scna_minus_germline_cnv_hg18__seg	Analyte Replicate Filter	TCGA-AF-2689-01A-01D-0819-01	TCGA-AF-2689-01A-01D-1549-01
TCGA-AF-2691	READ	snp__genome_wide_snp_6__broad_mit_edu__Level_3__segmented_scna_minus_germline_cnv_hg18__seg	Analyte Replicate Filter	TCGA-AF-2691-01A-01D-0819-01	TCGA-AF-2691-01A-01D-1549-01
TCGA-AG-A026	READ	snp__genome_wide_snp_6__broad_mit_edu__Level_3__segmented_scna_minus_germline_cnv_hg18__seg	Analyte Replicate Filter	TCGA-AG-A026-01A-01D-A008-01	TCGA-AG-A026-01A-32D-A080-01
TCGA-AF-3400	READ	snp__genome_wide_snp_6__broad_mit_edu__Level_3__segmented_scna_hg19__seg	Analyte Replicate Filter	TCGA-AF-3400-01A-01D-0819-01	TCGA-AF-3400-01A-01D-1549-01
TCGA-AF-2689	READ	snp__genome_wide_snp_6__broad_mit_edu__Level_3__segmented_scna_hg19__seg	Analyte Replicate Filter	TCGA-AF-2689-01A-01D-0819-01	TCGA-AF-2689-01A-01D-1549-01
